timestamp_unix,timestamp_iso,participant_full_id,accelerometers_std_g,missing_value_reason
1733288460000,2024-12-04T05:01:00Z,101-1-1-102024,0.079,
1733288520000,2024-12-04T05:02:00Z,101-1-1-102024,0.089,
1733288580000,2024-12-04T05:03:00Z,101-1-1-102024,0.072,
1733288640000,2024-12-04T05:04:00Z,101-1-1-102024,0.082,
1733288700000,2024-12-04T05:05:00Z,101-1-1-102024,0.096,
1733288760000,2024-12-04T05:06:00Z,101-1-1-102024,0.096,
1733288820000,2024-12-04T05:07:00Z,101-1-1-102024,0.135,
1733288880000,2024-12-04T05:08:00Z,101-1-1-102024,0.147,
1733288940000,2024-12-04T05:09:00Z,101-1-1-102024,,device_not_worn_correctly
1733289000000,2024-12-04T05:10:00Z,101-1-1-102024,,device_not_worn_correctly
1733289060000,2024-12-04T05:11:00Z,101-1-1-102024,,device_not_worn_correctly
1733289120000,2024-12-04T05:12:00Z,101-1-1-102024,,device_not_worn_correctly
1733289180000,2024-12-04T05:13:00Z,101-1-1-102024,,device_not_worn_correctly
1733289240000,2024-12-04T05:14:00Z,101-1-1-102024,,device_not_worn_correctly
1733289300000,2024-12-04T05:15:00Z,101-1-1-102024,,device_not_worn_correctly
1733289360000,2024-12-04T05:16:00Z,101-1-1-102024,,device_not_worn_correctly
1733289420000,2024-12-04T05:17:00Z,101-1-1-102024,,device_not_worn_correctly
1733289480000,2024-12-04T05:18:00Z,101-1-1-102024,0.134,
1733289540000,2024-12-04T05:19:00Z,101-1-1-102024,0.08,
1733289600000,2024-12-04T05:20:00Z,101-1-1-102024,0.001,
1733289660000,2024-12-04T05:21:00Z,101-1-1-102024,0.004,
1733289720000,2024-12-04T05:22:00Z,101-1-1-102024,0.004,
1733289780000,2024-12-04T05:23:00Z,101-1-1-102024,0.036,
1733289840000,2024-12-04T05:24:00Z,101-1-1-102024,0.009,
1733289900000,2024-12-04T05:25:00Z,101-1-1-102024,0.01,
1733289960000,2024-12-04T05:26:00Z,101-1-1-102024,0.004,
1733290020000,2024-12-04T05:27:00Z,101-1-1-102024,0.007,
1733290080000,2024-12-04T05:28:00Z,101-1-1-102024,0.003,
1733290140000,2024-12-04T05:29:00Z,101-1-1-102024,0.003,
1733290200000,2024-12-04T05:30:00Z,101-1-1-102024,0.003,
1733290260000,2024-12-04T05:31:00Z,101-1-1-102024,0.001,
1733290320000,2024-12-04T05:32:00Z,101-1-1-102024,0.001,
1733290380000,2024-12-04T05:33:00Z,101-1-1-102024,0.002,
1733290440000,2024-12-04T05:34:00Z,101-1-1-102024,0.002,
1733290500000,2024-12-04T05:35:00Z,101-1-1-102024,0.007,
1733290560000,2024-12-04T05:36:00Z,101-1-1-102024,0.001,
1733290620000,2024-12-04T05:37:00Z,101-1-1-102024,0.006,
1733290680000,2024-12-04T05:38:00Z,101-1-1-102024,0.005,
1733290740000,2024-12-04T05:39:00Z,101-1-1-102024,0.001,
1733290800000,2024-12-04T05:40:00Z,101-1-1-102024,0.008,
1733290860000,2024-12-04T05:41:00Z,101-1-1-102024,0.001,
1733290920000,2024-12-04T05:42:00Z,101-1-1-102024,0.007,
1733290980000,2024-12-04T05:43:00Z,101-1-1-102024,0.006,
1733291040000,2024-12-04T05:44:00Z,101-1-1-102024,0.002,
1733291100000,2024-12-04T05:45:00Z,101-1-1-102024,0.002,
1733291160000,2024-12-04T05:46:00Z,101-1-1-102024,0.01,
1733291220000,2024-12-04T05:47:00Z,101-1-1-102024,0.039,
1733291280000,2024-12-04T05:48:00Z,101-1-1-102024,0.021,
1733291340000,2024-12-04T05:49:00Z,101-1-1-102024,0.007,
1733291400000,2024-12-04T05:50:00Z,101-1-1-102024,0.02,
1733291460000,2024-12-04T05:51:00Z,101-1-1-102024,0.026,
1733291520000,2024-12-04T05:52:00Z,101-1-1-102024,0.002,
1733291580000,2024-12-04T05:53:00Z,101-1-1-102024,0.004,
1733291640000,2024-12-04T05:54:00Z,101-1-1-102024,0.003,
1733291700000,2024-12-04T05:55:00Z,101-1-1-102024,0.018,
1733291760000,2024-12-04T05:56:00Z,101-1-1-102024,0.003,
1733291820000,2024-12-04T05:57:00Z,101-1-1-102024,0.003,
1733291880000,2024-12-04T05:58:00Z,101-1-1-102024,0.038,
1733291940000,2024-12-04T05:59:00Z,101-1-1-102024,0.031,
1733292000000,2024-12-04T06:00:00Z,101-1-1-102024,0.029,
1733292060000,2024-12-04T06:01:00Z,101-1-1-102024,0.004,
1733292120000,2024-12-04T06:02:00Z,101-1-1-102024,0.01,
1733292180000,2024-12-04T06:03:00Z,101-1-1-102024,0.015,
1733292240000,2024-12-04T06:04:00Z,101-1-1-102024,0.061,
1733292300000,2024-12-04T06:05:00Z,101-1-1-102024,0.104,
1733292360000,2024-12-04T06:06:00Z,101-1-1-102024,0.198,
1733292420000,2024-12-04T06:07:00Z,101-1-1-102024,0.172,
1733292480000,2024-12-04T06:08:00Z,101-1-1-102024,0.08,
1733292540000,2024-12-04T06:09:00Z,101-1-1-102024,0.09,
1733292600000,2024-12-04T06:10:00Z,101-1-1-102024,0.094,
1733292660000,2024-12-04T06:11:00Z,101-1-1-102024,0.198,
1733292720000,2024-12-04T06:12:00Z,101-1-1-102024,0.16,
1733292780000,2024-12-04T06:13:00Z,101-1-1-102024,0.121,
1733292840000,2024-12-04T06:14:00Z,101-1-1-102024,0.104,
1733292900000,2024-12-04T06:15:00Z,101-1-1-102024,0.103,
1733292960000,2024-12-04T06:16:00Z,101-1-1-102024,0.09,
1733293020000,2024-12-04T06:17:00Z,101-1-1-102024,0.117,
1733293080000,2024-12-04T06:18:00Z,101-1-1-102024,0.113,
1733293140000,2024-12-04T06:19:00Z,101-1-1-102024,0.093,
1733293200000,2024-12-04T06:20:00Z,101-1-1-102024,0.099,
1733293260000,2024-12-04T06:21:00Z,101-1-1-102024,0.084,
1733293320000,2024-12-04T06:22:00Z,101-1-1-102024,0.114,
1733293380000,2024-12-04T06:23:00Z,101-1-1-102024,0.088,
1733293440000,2024-12-04T06:24:00Z,101-1-1-102024,0.041,
1733293500000,2024-12-04T06:25:00Z,101-1-1-102024,0.05,
1733293560000,2024-12-04T06:26:00Z,101-1-1-102024,0.011,
1733293620000,2024-12-04T06:27:00Z,101-1-1-102024,0.012,
1733293680000,2024-12-04T06:28:00Z,101-1-1-102024,0.016,
1733293740000,2024-12-04T06:29:00Z,101-1-1-102024,0.007,
1733293800000,2024-12-04T06:30:00Z,101-1-1-102024,0.038,
1733293860000,2024-12-04T06:31:00Z,101-1-1-102024,0.028,
1733293920000,2024-12-04T06:32:00Z,101-1-1-102024,0.038,
1733293980000,2024-12-04T06:33:00Z,101-1-1-102024,0.044,
1733294040000,2024-12-04T06:34:00Z,101-1-1-102024,0.031,
1733294100000,2024-12-04T06:35:00Z,101-1-1-102024,0.024,
1733294160000,2024-12-04T06:36:00Z,101-1-1-102024,0.045,
1733294220000,2024-12-04T06:37:00Z,101-1-1-102024,0.03,
1733294280000,2024-12-04T06:38:00Z,101-1-1-102024,0.049,
1733294340000,2024-12-04T06:39:00Z,101-1-1-102024,0.02,
1733294400000,2024-12-04T06:40:00Z,101-1-1-102024,0.03,
1733294460000,2024-12-04T06:41:00Z,101-1-1-102024,0.043,
1733294520000,2024-12-04T06:42:00Z,101-1-1-102024,0.02,
1733294580000,2024-12-04T06:43:00Z,101-1-1-102024,0.039,
1733294640000,2024-12-04T06:44:00Z,101-1-1-102024,0.037,
1733294700000,2024-12-04T06:45:00Z,101-1-1-102024,0.056,
1733294760000,2024-12-04T06:46:00Z,101-1-1-102024,0.03,
1733294820000,2024-12-04T06:47:00Z,101-1-1-102024,0.047,
1733294880000,2024-12-04T06:48:00Z,101-1-1-102024,0.038,
1733294940000,2024-12-04T06:49:00Z,101-1-1-102024,0.013,
1733295000000,2024-12-04T06:50:00Z,101-1-1-102024,0.033,
1733295060000,2024-12-04T06:51:00Z,101-1-1-102024,0.024,
1733295120000,2024-12-04T06:52:00Z,101-1-1-102024,0.021,
1733295180000,2024-12-04T06:53:00Z,101-1-1-102024,0.041,
1733295240000,2024-12-04T06:54:00Z,101-1-1-102024,0.03,
1733295300000,2024-12-04T06:55:00Z,101-1-1-102024,0.017,
1733295360000,2024-12-04T06:56:00Z,101-1-1-102024,0.019,
1733295420000,2024-12-04T06:57:00Z,101-1-1-102024,0.019,
